Name,OVR,Position,Alternative positions,Height,Weight,Nation,League,Team
Kylian Mbappé,96,ST,LW,182,75,France,LaLiga,Real Madrid
Rodri,96,CDM,CM,191,82,Spain,Premier League,Manchester City
Erling Haaland,96,ST,,195,94,Norway,Premier League,Manchester City
Jude Bellingham,94,CAM,CM,186,75,England,LaLiga,Real Madrid
Vini Jr.,94,LW,"ST, LM",176,73,Brazil,LaLiga,Real Madrid
Kevin De Bruyne,93,CM,CAM,181,75,Belgium,Premier League,Manchester City
Harry Kane,95,ST,,188,86,England,Bundesliga,FC Bayern München
Martin Ødegaard,94,CM,CAM,178,68,Norway,Premier League,Arsenal
Gianluigi Donnarumma,93,GK,,196,90,Italy,Ligue 1,Paris SG
Alisson,94,GK,,193,91,Brazil,Premier League,Liverpool
Thibaut Courtois,94,GK,,200,96,Belgium,LaLiga,Real Madrid
Lautaro Martínez,94,ST,,174,72,Argentina,Serie A,Inter Milan
Virgil van Dijk,94,CB,,193,92,Holland,Premier League,Liverpool
Marc-André ter Stegen,94,GK,,187,85,Germany,LaLiga,FC Barcelona
Mohamed Salah,94,RW,RM,175,72,Egypt,Premier League,Liverpool
Phil Foden,93,RW,"LW, CAM, RM",171,69,England,Premier League,Manchester City
Lionel Messi,93,RW,"ST, CAM, RM",169,67,Argentina,MLS,Inter Miami CF
Antoine Griezmann,93,ST,,176,73,France,LaLiga,Atlético de Madrid
Rúben Dias,93,CB,,187,82,Portugal,Premier League,Manchester City
Robert Lewandowski,94,ST,,185,81,Poland,LaLiga,FC Barcelona
Federico Valverde,93,CM,RM,182,78,Uruguay,LaLiga,Real Madrid
Ederson,93,GK,,188,86,Brazil,Premier League,Manchester City
Bernardo Silva,93,CM,RW,173,64,Portugal,Premier League,Manchester City
Jan Oblak,93,GK,,188,87,Slovenia,LaLiga,Atlético de Madrid
Antonio Rüdiger,93,CB,,190,86,Germany,LaLiga,Real Madrid
Florian Wirtz,93,CAM,LM,177,71,Germany,Bundesliga,Bayer Leverkusen
Gregor Kobel,93,GK,,195,88,Switzerland,Bundesliga,Borussia Dortmund
William Saliba,92,CB,,193,85,France,Premier League,Arsenal
Victor Osimhen,92,ST,,186,77,Nigeria,Serie A,SSC Napoli
Jamal Musiala,92,CAM,"LM, CM",184,72,Germany,Bundesliga,FC Bayern München
Bukayo Saka,92,RW,RM,178,65,England,Premier League,Arsenal
Paulo Dybala,92,CAM,ST,177,75,Argentina,Serie A,AS Roma
Theo Hernández,92,LB,LM,184,81,France,Serie A,AC Milan
Declan Rice,92,CDM,CM,185,80,England,Premier League,Arsenal
Frenkie de Jong,92,CM,CDM,181,74,Holland,LaLiga,FC Barcelona
Mike Maignan,92,GK,,191,89,France,Serie A,AC Milan
Bruno Fernandes,92,CAM,CM,179,69,Portugal,Premier League,Man Utd
Heung Min Son,92,ST,LM,183,78,Korea Republic,Premier League,Tottenham Hotspur
Marquinhos,92,CB,,183,75,Brazil,Ligue 1,Paris SG
Alessandro Bastoni,92,CB,,190,75,Italy,Serie A,Inter Milan
İlkay Gündoğan,92,CM,CDM,180,80,Germany,Premier League,Manchester City
Emiliano Martínez,92,GK,,195,88,Argentina,Premier League,Aston Villa
Nicolò Barella,92,CM,CDM,172,68,Italy,Serie A,Inter Milan
Yann Sommer,92,GK,,183,77,Switzerland,Serie A,Inter Milan
Gabriel,91,CB,,190,87,Brazil,Premier League,Arsenal
Granit Xhaka,91,CDM,CM,186,80,Switzerland,Bundesliga,Bayer Leverkusen
Rodrygo,91,RW,"ST, RM",174,64,Brazil,LaLiga,Real Madrid
Rafael Leão,91,LW,"LM, ST",188,81,Portugal,Serie A,AC Milan
Grimaldo,91,LM,"LB, LW",171,68,Spain,Bundesliga,Bayer Leverkusen
Luka Modrić,91,CM,"CAM, CDM",172,66,Croatia,LaLiga,Real Madrid
Alexis Mac Allister,91,CM,CDM,176,72,Argentina,Premier League,Liverpool
Carvajal,91,RB,,173,73,Spain,LaLiga,Real Madrid
Ousmane Dembélé,91,RW,"CAM, RM",178,67,France,Ligue 1,Paris SG
Trent Alexander-Arnold,91,RB,,180,72,England,Premier League,Liverpool
Pedri,91,CM,LW,174,60,Spain,LaLiga,FC Barcelona
Jonathan Tah,91,CB,,195,94,Germany,Bundesliga,Bayer Leverkusen
Bremer,91,CB,,187,84,Brazil,Serie A,Juventus
Joshua Kimmich,91,RB,"CDM, CM",177,75,Germany,Bundesliga,FC Bayern München
Unai Simón,91,GK,,190,89,Spain,LaLiga,Athletic Club
Manuel Neuer,91,GK,,193,93,Germany,Bundesliga,FC Bayern München
Hakan Çalhanoğlu,91,CDM,CM,178,69,Turkey,Serie A,Inter Milan
David Alaba,90,CB,LB,180,78,Austria,LaLiga,Real Madrid
Ronald Araujo,90,CB,RB,188,79,Uruguay,LaLiga,FC Barcelona
Julian Brandt,90,CAM,"RM, CM",185,83,Germany,Bundesliga,Borussia Dortmund
Éder Militão,90,CB,,186,78,Brazil,LaLiga,Real Madrid
Bruno Guimarães,90,CDM,CM,182,74,Brazil,Premier League,Newcastle United
Alexander Isak,90,ST,,192,77,Sweden,Premier League,Newcastle United
Jules Koundé,90,RB,CB,180,75,France,LaLiga,FC Barcelona
Khvicha Kvaratskhelia,90,LW,"RW, LM",183,70,Georgia,Serie A,SSC Napoli
Vitinha,90,CM,CDM,172,64,Portugal,Ligue 1,Paris SG
James Maddison,90,CAM,RM,175,73,England,Premier League,Tottenham Hotspur
Giorgi Mamardashvili,90,GK,,199,88,Georgia,LaLiga,Valencia CF
Mikel Merino,90,CM,CAM,189,83,Spain,Premier League,Arsenal
Loïs Openda,90,ST,,177,75,Belgium,Bundesliga,RB Leipzig
Palhinha,90,CDM,CM,190,83,Portugal,Bundesliga,FC Bayern München
Cole Palmer,90,RM,"CAM, RW",189,74,England,Premier League,Chelsea
Andrew Robertson,90,LB,,178,64,Scotland,Premier League,Liverpool
Leroy Sané,90,RM,"LM, RW",183,80,Germany,Bundesliga,FC Bayern München
Nico Schlotterbeck,90,CB,,191,86,Germany,Bundesliga,Borussia Dortmund
John Stones,90,CB,"CDM, RB",188,76,England,Premier League,Manchester City
Aurélien Tchouaméni,90,CDM,"CM, CB",188,82,France,LaLiga,Real Madrid
Diogo Jota,90,ST,LW,178,70,Portugal,Premier League,Liverpool
Sandro Tonali,90,CDM,CM,181,79,Italy,Premier League,Newcastle United
Ollie Watkins,90,ST,,180,70,England,Premier League,Aston Villa
Nico Williams,90,LM,"RM, LW",181,67,Spain,LaLiga,Athletic Club
Francesco Acerbi,89,CB,,192,88,Italy,Serie A,Inter Milan
Manuel Akanji,89,CB,,187,91,Switzerland,Premier League,Manchester City
Nathan Aké,89,CB,LB,180,75,Holland,Premier League,Manchester City
Julián Álvarez,89,ST,CAM,170,71,Argentina,LaLiga,Atlético de Madrid
Iago Aspas,89,ST,,176,67,Spain,LaLiga,RC Celta
Federico Chiesa,89,RW,"LW, ST, RM",175,70,Italy,Premier League,Liverpool
Kingsley Coman,89,LM,"RM, LW",181,75,France,Bundesliga,FC Bayern München
Matthijs de Ligt,89,CB,,189,89,Holland,Premier League,Man Utd
Rodrigo De Paul,89,CM,CDM,180,70,Argentina,LaLiga,Atlético de Madrid
Raphinha,89,RW,"LW, RM",176,68,Brazil,LaLiga,FC Barcelona
Luis Díaz,89,LW,"RW, LM",180,73,Colombia,Premier League,Liverpool
Federico Dimarco,89,LB,LM,174,76,Italy,Serie A,Inter Milan
Artem Dovbyk,89,ST,,189,78,Ukraine,Serie A,AS Roma
Jeremie Frimpong,89,RM,"RB, RW",172,65,Holland,Bundesliga,Bayer Leverkusen
Aleix García,89,CM,CDM,173,68,Spain,Bundesliga,Bayer Leverkusen
Jack Grealish,89,LW,LM,180,81,England,Premier League,Manchester City
Serhou Guirassy,89,ST,,187,82,Guinea,Bundesliga,Borussia Dortmund
Viktor Gyökeres,89,ST,LW,187,90,Sweden,Liga Portugal,Sporting CP
Achraf Hakimi,89,RB,,181,73,Morocco,Ligue 1,Paris SG
Lukáš Hrádecký,89,GK,,192,85,Finland,Bundesliga,Bayer Leverkusen
Lisandro Martínez,89,CB,,178,77,Argentina,Premier League,Man Utd
Diogo Costa,89,GK,,192,84,Portugal,Liga Portugal,FC Porto
Ferland Mendy,89,LB,,180,73,France,LaLiga,Real Madrid
Christopher Nkunku,89,CAM,ST,177,68,France,Premier League,Chelsea
Dani Olmo,89,CAM,CM,179,72,Spain,LaLiga,FC Barcelona
Exequiel Palacios,89,CM,CDM,178,69,Argentina,Bundesliga,Bayer Leverkusen
Benjamin Pavard,89,CB,RB,186,81,France,Serie A,Inter Milan
Álex Remiro,89,GK,,192,79,Spain,LaLiga,Real Sociedad
Cristian Romero,89,CB,,185,79,Argentina,Premier League,Tottenham Hotspur
Marcel Sabitzer,89,CM,"CAM, CDM",178,76,Austria,Bundesliga,Borussia Dortmund
Casemiro,89,CDM,CM,185,84,Brazil,Premier League,Man Utd
Guglielmo Vicario,89,GK,,194,76,Italy,Premier League,Tottenham Hotspur
Dušan Vlahović,89,ST,,190,75,Serbia,Serie A,Juventus
Kyle Walker,89,RB,,183,83,England,Premier League,Manchester City
Benjamin White,89,RB,CB,185,77,England,Premier League,Arsenal
Marcos Acuña,88,LB,LM,172,69,Argentina,Libertadores,River Plate
Robert Andrich,88,CDM,"CM, CB",186,85,Germany,Bundesliga,Bayer Leverkusen
Ismaël Bennacer,88,CDM,"CM, CAM",175,70,Algeria,Serie A,AC Milan
Eduardo Camavinga,88,CM,"CDM, LB",182,68,France,LaLiga,Real Madrid
Andreas Christensen,88,CB,CDM,187,82,Denmark,LaLiga,FC Barcelona
Stefan de Vrij,88,CB,,189,78,Holland,Serie A,Inter Milan
Ángel Di María,88,RM,"CAM, RW",180,69,Argentina,Liga Portugal,SL Benfica
Youssef En-Nesyri,88,ST,,188,78,Morocco,Trendyol Süper Lig,Fenerbahçe
Rafa,88,CAM,ST,172,66,Portugal,Trendyol Süper Lig,Beşiktaş
Cody Gakpo,88,ST,LW,189,76,Holland,Premier League,Liverpool
José María Giménez,88,CB,,185,79,Uruguay,LaLiga,Atlético de Madrid
Olivier Giroud,88,ST,,193,91,France,MLS,LAFC
Leon Goretzka,88,CM,CDM,189,82,Germany,Bundesliga,FC Bayern München
Joško Gvardiol,88,LB,CB,185,80,Croatia,Premier League,Manchester City
Kai Havertz,88,ST,CM,193,82,Germany,Premier League,Arsenal
Lucas Hernández,88,CB,LB,184,79,France,Ligue 1,Paris SG
Mauro Icardi,88,ST,,181,79,Argentina,Trendyol Süper Lig,Galatasaray
Kim Min Jae,88,CB,,190,81,Korea Republic,Bundesliga,FC Bayern München
